,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2025-04-28,0.1312873662841507,-3.2869998322009195,-2.324086460204811,-4.056977378867726,-2.8685021834243125
2025-04-29,0.6897959282653499,-2.994813075849197,-2.1174946381926056,-3.6754648450082734,-2.598752210925079
2025-04-30,0.3167675808945159,-2.7496847525285726,-1.9441756706462312,-3.39600533595039,-2.4011592403340143
2025-05-02,2.5873446492770955,-2.520198307640967,-1.7819163561981675,-3.098329800895776,-2.1906865552498114
2025-05-05,1.1108538327539232,-2.6178282643452317,-1.850946010007074,-3.7306061699741075,-2.6377401066637405
2025-05-06,-0.4072988678040122,-2.468464000420799,-1.7453374060684497,-3.545523777019447,-2.506876855843246
2025-05-07,-0.5766766350699066,-2.344073970703124,-1.657386934936922,-3.2524922816085478,-2.299687757679516
2025-05-08,1.0188828880307628,-2.2988355904971054,-1.6254009561460419,-3.0172903522949657,-2.1333872869655486
2025-05-09,0.6259340371946363,-2.1890895358397624,-1.547804566517009,-2.9201123647615908,-2.0646771997779134
2025-05-12,0.2856371756299482,-2.066942980725447,-1.4614403531328666,-2.735421203355886,-1.9340905707986569
2025-05-13,0.3051430496069767,-1.9652818906342746,-1.3895604702390627,-2.5377656224843292,-1.794337396859516
2025-05-14,-0.4730187232063654,-1.8685060392190962,-1.3211347150122335,-2.3591306473998452,-1.6680328187923832
2025-05-15,0.7139835403582895,-1.880547989966559,-1.3296490247522166,-2.232673913800958,-1.578621076363996
2025-05-16,0.3027194616804027,-1.818306544719849,-1.2856409603938441,-2.186594991543652,-1.5460407889329109
2025-05-19,0.7024863931832367,-1.7482483802066444,-1.2361060532189578,-2.061576346126821,-1.4576458525413707
2025-05-20,0.4216250095272731,-1.7087958983956806,-1.208211017174206,-2.0467257522910485,-1.4471456804021434
2025-05-21,0.3583628662661676,-1.661759930057694,-1.1749540464600514,-1.9644486635295417,-1.3889713336612586
2025-05-22,-0.5121642428683503,-1.6208059173202172,-1.1459973469306528,-1.8848741889488456,-1.3327078811538466
2025-05-23,-1.551992283026119,-1.709239602908195,-1.2085247402355108,-1.8534349648505752,-1.3104786512249815
2025-05-26,1.670594646885294,-2.557185511762822,-1.8080683077310873,-2.2938036269880215,-1.621843086095323
2025-05-27,0.8241405467777966,-2.4601901265868857,-1.7394873302751799,-2.6534761493253614,-1.8761509905506184
2025-05-28,-0.7802879366781892,-2.309982475546388,-1.6332824060818487,-2.5636539859177327,-1.8126418684153138
2025-05-29,-0.4375903487121357,-2.372495008231466,-1.677482143904537,-2.4775571744874685,-1.7517667713886422
2025-05-30,0.2680954954619805,-2.2816482706870262,-1.613248592502303,-2.3298988246393644,-1.6473643408633014
